run_id,primitive_id,primitive_name,sem,scope,block_size,dtype,src_rank,dst_rank,buffer_bytes,n_elements,rep_idx,time_ms,bandwidth_gibps,world_size,gpu_arch,hostname,ts_unix
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,2,0.379862,82.2667,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,3,0.374411,83.4644,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,4,0.379622,82.3187,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,5,0.377056,82.8789,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,6,0.378820,82.4930,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,7,0.376054,83.0998,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,8,0.377818,82.7118,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,9,0.377217,82.8436,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,10,0.376816,82.9317,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,11,0.377457,82.7909,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,12,0.379422,82.3621,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,13,0.376294,83.0468,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,1,16777216,4194304,14,0.378379,82.5892,8,gfx942:sramecc+:xnack-,j06u19,1778487696.947
