run_id,primitive_id,primitive_name,sem,scope,block_size,dtype,src_rank,dst_rank,buffer_bytes,n_elements,rep_idx,time_ms,bandwidth_gibps,world_size,gpu_arch,hostname,ts_unix
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,0,0,16777216,4194304,0,0.106000,294.8113,8,gfx942:sramecc+:xnack-,j06u19,1778487690.994
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,0,0,16777216,4194304,1,0.091969,339.7884,8,gfx942:sramecc+:xnack-,j06u19,1778487690.994
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,0,0,16777216,4194304,2,0.084512,369.7700,8,gfx942:sramecc+:xnack-,j06u19,1778487690.994
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,0,0,16777216,4194304,3,0.083791,372.9517,8,gfx942:sramecc+:xnack-,j06u19,1778487690.994
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,0,0,16777216,4194304,4,0.084913,368.0237,8,gfx942:sramecc+:xnack-,j06u19,1778487690.994
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,0,0,16777216,4194304,5,0.079501,393.0768,8,gfx942:sramecc+:xnack-,j06u19,1778487690.994
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,0,0,16777216,4194304,6,0.075652,413.0756,8,gfx942:sramecc+:xnack-,j06u19,1778487690.994
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,0,0,16777216,4194304,7,0.081185,384.9233,8,gfx942:sramecc+:xnack-,j06u19,1778487690.994
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,0,0,16777216,4194304,8,0.076454,408.7425,8,gfx942:sramecc+:xnack-,j06u19,1778487690.994
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,0,0,16777216,4194304,9,0.070240,444.9032,8,gfx942:sramecc+:xnack-,j06u19,1778487690.994
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,0,0,16777216,4194304,10,0.071202,438.8922,8,gfx942:sramecc+:xnack-,j06u19,1778487690.994
