primitive,primitive_id,version,sem,scope,op,source_rank,destination_rank,num_ranks,n_elements,block_size,buffer_bytes,dtype,rep,latency_ms,latency_ns,algo_bw_gbps,bus_bw_gbps,paired_with,interference_slowdown,gpu_arch,node,container_image,git_sha,ts_utc
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,256,1,1024,int32,14,0.02714099921286106,27140.99921286106,0.03513777473433406,0.03513777473433406,,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,256,1,1024,int32,15,0.026941999793052673,26941.999793052673,0.03539730991506305,0.03539730991506305,,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,256,1,1024,int32,16,0.02966799959540367,29667.99959540367,0.032144880996762534,0.032144880996762534,,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,256,1,1024,int32,17,0.027661999687552452,27661.999687552452,0.034475971628160754,0.034475971628160754,,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,256,1,1024,int32,18,0.02802399918437004,28023.99918437004,0.034030628895327236,0.034030628895327236,,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,256,1,1024,int32,19,0.023934999480843544,23934.999480843544,0.03984434247301849,0.03984434247301849,,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,256,1,1024,int32,20,0.02465599961578846,24655.99961578846,0.038679199029333415,0.038679199029333415,,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,256,1,1024,int32,21,0.025376999750733376,25376.999750733376,0.037580262669888294,0.037580262669888294,,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,256,1,1024,int32,22,0.026621000841259956,26621.000841259956,0.03582413456552496,0.03582413456552496,,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
R3_ATOMIC_AND_RELAXED,R3,v47,relaxed,gpu,atomic_and,0,1,8,256,1,1024,int32,23,0.025337999686598778,25337.999686598778,0.0376381059358307,0.0376381059358307,,0.0,gfx942,b18u43,rocm/pytorch:rocm7.2_ubuntu24.04_py3.12_pytorch_release_2.10.0,9459a5e95d01ac50bd072b9c6c498a5c8f96af16,1778479244
