corpus_version,focal,interferer,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc,timer
v45,P3,__none__,4,4,32,46,44.2210,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,47,43.6190,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,48,44.1800,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,49,42.6170,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,50,44.5010,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,51,42.6970,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,52,47.5880,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,53,42.7370,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,54,43.7790,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,55,43.2180,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,56,43.4180,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,57,42.6170,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,58,43.4180,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,59,43.0580,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,60,43.6990,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,61,152.4260,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,62,41.2930,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,63,41.1340,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,64,41.7340,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,65,40.5720,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,66,41.5340,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,67,40.0510,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,68,41.6950,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,69,39.9710,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,70,41.9750,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,71,41.0130,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,72,41.8950,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,73,40.2910,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,74,40.8530,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,75,40.3720,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,76,41.2540,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,77,40.4920,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,78,41.2140,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,79,41.0130,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,80,143.2450,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,81,39.1290,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,82,39.8510,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,83,39.4890,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,84,39.8910,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,85,38.0860,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,86,40.0910,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,87,38.8080,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,88,40.4520,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,89,38.4470,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,90,40.0510,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,91,40.1310,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,92,39.9710,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,93,39.5290,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,94,39.3290,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,95,39.2090,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,96,39.6500,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,97,38.8480,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,98,39.4890,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,99,39.2090,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,100,39.7300,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,101,39.2890,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,102,39.6900,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,103,38.4870,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,104,40.2510,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,105,38.2870,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,106,40.2510,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,107,38.6080,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,108,39.7700,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,109,38.4880,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,110,39.8900,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,111,39.1290,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,112,40.3710,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,113,39.3300,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,114,39.4500,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,115,39.6500,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,116,39.8100,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,117,39.2090,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,118,39.7700,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,119,39.5700,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,120,40.0510,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,121,38.0870,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,122,40.0510,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,123,38.4480,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,124,40.0910,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,125,38.5270,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,126,40.1310,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,127,39.0080,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,128,40.1310,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,129,38.5680,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
v45,P3,__none__,4,4,32,130,40.2520,gfx942,b21u01,2026-05-11T07:06:37.196604+00:00,cuda_event
