corpus_version,prim,K,N_PROD,N_OPS,rep,us,gpu_arch,node,ts_utc,timer
v45,M3,4,4,32,50,46.3450,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,51,46.2650,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,52,45.8240,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,53,43.5390,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,54,44.3010,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,55,152.6260,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,56,38.7280,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,57,40.3310,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,58,38.8480,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,59,39.4900,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,60,38.3670,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,61,38.8880,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,62,39.4900,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,63,38.0860,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,64,41.0530,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,65,40.2920,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,66,41.3730,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,67,38.0070,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,68,40.2510,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,69,39.9310,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
v45,M3,4,4,32,70,40.3720,gfx942,b21u01,2026-05-11T07:06:02.991375+00:00,cuda_event
