duty_pct,op_class,cell,median,p99,std,count,p99_p50
5,CAS_ACQREL,16x256,0.6855165120214224,0.6863371003419161,0.0003687675380904161,25,1.0011970365499643
5,CAS_ACQREL,16x64,0.6921098683960736,0.693652075715363,0.0005926758024398485,25,1.0022282695128497
5,CAS_ACQREL,32x256,0.348751520505175,0.34966608043760067,0.00044122469757520007,25,1.0026223826382201
5,CAS_ACQREL,4x256,2.738855546340347,2.7429130766540766,0.0029702342566145707,25,1.0014814692652014
5,CAS_ACQREL,4x64,2.7670497074723244,2.769653219729662,0.0034064123719409283,25,1.0009408982608108
5,CAS_ACQREL,64x256,0.18159192404709754,0.18199438869487497,0.0003024884221693545,25,1.0022163135827178
5,FADD_RELEASE,16x256,0.3783967404160648,0.3787724103312939,0.00021678452730699465,25,1.0009927937402843
5,FADD_RELEASE,16x64,0.38858604966662824,0.3888334194198251,0.00021836831477234616,25,1.0006365893819633
5,FADD_RELEASE,32x256,0.18963761976920068,0.18977231869939715,5.5854563554380764e-05,25,1.0007102964610102
5,FADD_RELEASE,4x256,1.5120893949642777,1.514058574102819,0.0011177776445080694,25,1.0013022901589677
5,FADD_RELEASE,4x64,1.5531303361058235,1.555460887029767,0.0027605414792301395,25,1.0015005507714099
5,FADD_RELEASE,64x256,0.09929740190273151,0.09944701771019027,7.754811173833634e-05,25,1.0015067444322996
5,MAX_ACQREL,16x256,0.6846551550552249,0.6856256304308772,0.0004380184333262672,25,1.001417465958573
5,MAX_ACQREL,16x64,0.6921050953678787,0.6933255330659449,0.0005011777333976191,25,1.0017633704855438
5,MAX_ACQREL,32x256,0.34839060390368104,0.34914877731353045,0.0003855251209123298,25,1.002176216583783
5,MAX_ACQREL,4x256,2.735263435170055,2.7409038599580526,0.003024302468633368,25,1.0020621139139554
5,MAX_ACQREL,4x64,2.7649940457195044,2.771022776141763,0.003329041149244388,25,1.0021803773616047
5,MAX_ACQREL,64x256,0.18131817341782153,0.1816314517054707,0.0002497565866498227,25,1.0017277820625696
5,XCHG_ACQREL,16x256,0.6865662871859969,0.6872883811593056,0.0003869625363745478,25,1.001051746913278
5,XCHG_ACQREL,16x64,0.7446417002938688,0.7455538446083665,0.0004630743718421115,25,1.0012249439081073
