x,flops,bytes,time_ns
4,2566914048000,158285619200,127756791
5,3208642560000,162254848000,133465868
6,3850371072000,161581670400,133517396
7,4492099584000,163110092800,132787342
8,5133828096000,163640115200,132956899
10,6417285120000,164438016000,132129381
12,7700742144000,165249024000,132029987
14,8984199168000,166063308800,131789945
16,10267656192000,166884147200,131901512
20,12834570240000,168493056000,131856672
24,15401484288000,170115072000,135677236
28,17968398336000,171717427200,142060472
32,20535312384000,173372211200,175763746
40,25669140480000,176603136000,174158003
48,30802968576000,179807846400,176232040
56,35936796672000,183025664000,185093942
64,41070624768000,186295910400,229357076
80,51338280960000,192757760000,288531836
96,61605937152000,199272038400,308997829
112,71873593344000,205733888000,316466313
128,82141249536000,212143308800,361423327
160,102676561920000,225067008000,441657639
192,123211874304000,238200422400,505368151
224,143747186688000,250966835200,581213067
256,164282499072000,264047820800,637983001
288,184817811456000,277128806400,711802792
320,205353123840000,289423360000,776583699
352,225888436224000,302425702400,854006703
384,246423748608000,315428044800,911537064
416,266959060992000,328430387200,986265077
448,287494373376000,341432729600,1046168504
480,308029685760000,354435072000,1124534888
512,328564998144000,367437414400,1189054311
544,349100310528000,380439756800,1285072795
576,369635622912000,393442099200,1326500094
608,390170935296000,406444441600,1359992776
640,410706247680000,419446784000,1449347293
672,431241560064000,432449126400,1525406057
704,451776872448000,445451468800,1568474216
736,472312184832000,458453811200,1619431899
768,492847497216000,471456153600,1688008758
800,513382809600000,484458496000,1754715352
832,533918121984000,497460838400,1829231858
864,554453434368000,510463180800,1876055035
896,574988746752000,523465523200,1946609951
928,595524059136000,536467865600,1992112006
960,616059371520000,549470208000,2075678659
992,636594683904000,562472550400,2147089477
