x,flops,bytes,time_ns
4,655884288000,42357555200,62126099
5,819855360000,42539008000,60137582
6,983826432000,43054694400,60278325
7,1147797504000,43283660800,59814396
8,1311768576000,43758387200,59796231
10,1639710720000,44445696000,59151952
12,1967652864000,45146112000,58774155
14,2295595008000,45849804800,58514910
16,2623537152000,46560051200,58152381
20,3279421440000,47947776000,58420991
24,3935305728000,49348608000,59259667
28,4591190016000,50729779200,66318035
32,5247074304000,52163379200,75509643
40,6558842880000,54951936000,68127155
48,7870611456000,57714278400,69578233
56,9182380032000,60489728000,74890011
64,10494148608000,63317606400,87340571
80,13117685760000,68894720000,114041686
96,15741222912000,74524262400,117284207
112,18364760064000,80101376000,121321131
128,20988297216000,85626060800,150735210
160,26235371520000,96780288000,168183252
192,31482445824000,108144230400,198808531
224,36729520128000,119141171200,233814695
256,41976594432000,130452684800,255710333
288,47223668736000,141764198400,290603586
320,52470743040000,152289280000,313148473
352,57717817344000,163522150400,347373046
384,62964891648000,174755020800,375382478
416,68211965952000,185987891200,405697618
448,73459040256000,197220761600,434647193
480,78706114560000,208453632000,466371045
512,83953188864000,219686502400,511045450
544,89200263168000,230919372800,547881222
576,94447337472000,242152243200,564321204
608,99694411776000,253385113600,597312588
640,104941486080000,264617984000,632054533
672,110188560384000,275850854400,660939294
704,115435634688000,287083724800,684258567
736,120682708992000,298316595200,717963339
768,125929783296000,309549465600,747507279
800,131176857600000,320782336000,781937679
832,136423931904000,332015206400,807865225
864,141671006208000,343248076800,833729315
896,146918080512000,354480947200,861338833
928,152165154816000,365713817600,890467606
960,157412229120000,376946688000,919280774
992,162659303424000,388179558400,952475997
