x,flops,bytes,time_ns
4,1292894208000,79756083200,77554275
5,1616117760000,81822208000,76133620
6,1939341312000,82978406400,76700954
7,2262564864000,83225804800,76386415
8,2585788416000,83718963200,76344369
10,3232235520000,84443136000,75795607
12,3878682624000,85180416000,75039183
14,4525129728000,85920972800,75042534
16,5171576832000,86668083200,75614942
20,6464471040000,88129536000,75059324
24,7757365248000,89604096000,79009476
28,9050259456000,91058995200,89714360
32,10343153664000,92566323200,98228160
40,12928942080000,95502336000,95564801
48,15514730496000,98412134400,97700233
56,18100518912000,101335040000,104726384
64,20686307328000,104310374400,131047852
80,25857884160000,110182400000,161089734
96,31029460992000,116106854400,177122373
112,36201037824000,121978880000,178491322
128,41372614656000,127798476800,207386507
160,51715768320000,139542528000,237665451
192,62058921984000,151496294400,267815542
224,72402075648000,163083059200,312230914
256,82745229312000,174984396800,347266687
288,93088382976000,186885734400,378958979
320,103431536640000,198000640000,417291895
352,113774690304000,209823334400,460624054
384,124117843968000,221646028800,498968774
416,134460997632000,233468723200,531610728
448,144804151296000,245291417600,561120020
480,155147304960000,257114112000,608468815
512,165490458624000,268936806400,725882520
544,175833612288000,280759500800,770587406
576,186176765952000,292582195200,802930458
608,196519919616000,304404889600,842710241
640,206863073280000,316227584000,887237448
672,217206226944000,328050278400,929766851
704,227549380608000,339872972800,978161936
736,237892534272000,351695667200,1009625180
768,248235687936000,363518361600,1047422927
800,258578841600000,375341056000,1089759738
832,268921995264000,387163750400,1132077990
864,279265148928000,398986444800,1172003101
896,289608302592000,410809139200,1216744913
928,299951456256000,422631833600,1250529513
960,310294609920000,434454528000,1295126432
992,320637763584000,446277222400,1337550655
