ordering_class,n,beta_log_prod_w,beta_log_cons_w,r2_within,dominance
CAS_ACQREL,32,0.4800093077412238,0.03536312434871816,0.9446542021438868,PRODUCER
FADD_RELEASE,48,0.0043305759171004205,0.04940804873978162,0.7897715708944228,CONSUMER
MAX_ACQUIRE,48,0.042265489705641576,0.0369410731183102,0.7010997125091083,PRODUCER
XCHG_ACQREL,48,0.07016965465985438,0.04856027083459656,0.5877245897165226,PRODUCER
