prod_num_warps,cons_num_warps,imbalance,n_cells,n_prims,pc1_ve,pc2_ve,pc3_ve,pc1_pc2
1,8,"(1,8)",8,3,0.9987289848457285,0.0011203592306972283,0.00015065592357441543,0.9998493440764257
2,8,"(2,8)",8,3,0.9988896175094757,0.0010299594552027876,8.042303532150585e-05,0.9999195769646785
4,8,"(4,8)",8,4,0.9960340936557199,0.003946235964431265,1.7117966099863804e-05,0.9999803296201512
8,1,"(8,1)",8,4,0.998812013512125,0.0009253059516036726,0.0002503902290158078,0.9997373194637287
8,2,"(8,2)",8,4,0.9987065764553594,0.001023016769558638,0.0002616255689980121,0.9997295932249181
8,4,"(8,4)",8,4,0.9970755433132129,0.002684330213838041,0.00023079370900536993,0.999759873527051
