ordering_class,prod_num_warps,cons_num_warps,n_workgroups,block_size,buffer_bytes,rep,ms,node,ts
XCHG_ACQREL,1,8,304,256,2097152,0,0.0732870027422905,c09u13,1778503410.7999024
XCHG_ACQREL,1,8,304,256,2097152,1,0.06795500218868256,c09u13,1778503410.799905
XCHG_ACQREL,1,8,304,256,2097152,2,0.06647200137376785,c09u13,1778503410.7999065
XCHG_ACQREL,1,8,304,256,2097152,3,0.06559000164270401,c09u13,1778503410.7999074
XCHG_ACQREL,1,8,304,256,2097152,4,0.06402599811553955,c09u13,1778503410.7999082
XCHG_ACQREL,1,8,304,256,2097152,5,0.06635099649429321,c09u13,1778503410.7999089
XCHG_ACQREL,1,8,304,256,2097152,6,0.06410600244998932,c09u13,1778503410.7999096
XCHG_ACQREL,1,8,304,256,2097152,7,0.06582999974489212,c09u13,1778503410.7999103
XCHG_ACQREL,1,8,304,256,2097152,8,0.06410600244998932,c09u13,1778503410.7999113
XCHG_ACQREL,1,8,304,256,2097152,9,0.06362500041723251,c09u13,1778503410.799912
XCHG_ACQREL,1,8,304,256,2097152,10,0.06342499703168869,c09u13,1778503410.7999127
XCHG_ACQREL,1,8,304,256,2097152,11,0.06675200164318085,c09u13,1778503410.7999134
XCHG_ACQREL,1,8,304,256,2097152,12,0.06607100367546082,c09u13,1778503410.7999141
XCHG_ACQREL,1,8,304,256,2097152,13,0.06414700299501419,c09u13,1778503410.799915
XCHG_ACQREL,1,8,304,256,2097152,14,0.0643870010972023,c09u13,1778503410.7999158
XCHG_ACQREL,1,8,304,256,2097152,15,0.06450700014829636,c09u13,1778503410.7999163
XCHG_ACQREL,1,8,304,256,2097152,16,0.0636650025844574,c09u13,1778503410.7999167
XCHG_ACQREL,1,8,304,256,2097152,17,0.06346400082111359,c09u13,1778503410.7999175
XCHG_ACQREL,1,8,304,256,2097152,18,0.060738999396562576,c09u13,1778503410.7999187
XCHG_ACQREL,1,8,304,256,2097152,19,0.06462699919939041,c09u13,1778503410.7999194
XCHG_ACQREL,1,8,304,256,2097152,20,0.0651089996099472,c09u13,1778503410.7999198
XCHG_ACQREL,1,8,304,256,2097152,21,0.06498800218105316,c09u13,1778503410.7999208
XCHG_ACQREL,1,8,304,256,2097152,22,0.06454700231552124,c09u13,1778503410.7999215
XCHG_ACQREL,1,8,304,256,2097152,23,0.06270299851894379,c09u13,1778503410.799922
XCHG_ACQREL,1,8,304,256,2097152,24,0.06518799811601639,c09u13,1778503410.7999227
XCHG_ACQREL,1,8,304,256,33554432,0,0.06558900326490402,c09u13,1778503410.8093066
XCHG_ACQREL,1,8,304,256,33554432,1,0.0626629963517189,c09u13,1778503410.8093078
XCHG_ACQREL,1,8,304,256,33554432,2,0.06426600366830826,c09u13,1778503410.8093088
XCHG_ACQREL,1,8,304,256,33554432,3,0.06430699676275253,c09u13,1778503410.8093095
XCHG_ACQREL,1,8,304,256,33554432,4,0.06322400271892548,c09u13,1778503410.80931
XCHG_ACQREL,1,8,304,256,33554432,5,0.06362500041723251,c09u13,1778503410.8093104
XCHG_ACQREL,1,8,304,256,33554432,6,0.06410600244998932,c09u13,1778503410.8093112
XCHG_ACQREL,1,8,304,256,33554432,7,0.06438600271940231,c09u13,1778503410.8093116
XCHG_ACQREL,1,8,304,256,33554432,8,0.06891699880361557,c09u13,1778503410.8093126
XCHG_ACQREL,1,8,304,256,33554432,9,0.06430699676275253,c09u13,1778503410.8093133
XCHG_ACQREL,1,8,304,256,33554432,10,0.06310400366783142,c09u13,1778503410.8093138
XCHG_ACQREL,1,8,304,256,33554432,11,0.06302399933338165,c09u13,1778503410.8093145
XCHG_ACQREL,1,8,304,256,33554432,12,0.06398499757051468,c09u13,1778503410.809315
XCHG_ACQREL,1,8,304,256,33554432,13,0.06322500109672546,c09u13,1778503410.809316
XCHG_ACQREL,1,8,304,256,33554432,14,0.06330399960279465,c09u13,1778503410.8093164
XCHG_ACQREL,1,8,304,256,33554432,15,0.060697998851537704,c09u13,1778503410.809317
XCHG_ACQREL,1,8,304,256,33554432,16,0.07865899801254272,c09u13,1778503410.809318
XCHG_ACQREL,1,8,304,256,33554432,17,0.062463000416755676,c09u13,1778503410.8093185
XCHG_ACQREL,1,8,304,256,33554432,18,0.062421999871730804,c09u13,1778503410.8093195
XCHG_ACQREL,1,8,304,256,33554432,19,0.06382600218057632,c09u13,1778503410.80932
XCHG_ACQREL,1,8,304,256,33554432,20,0.06298399716615677,c09u13,1778503410.8093204
XCHG_ACQREL,1,8,304,256,33554432,21,0.0646670013666153,c09u13,1778503410.8093212
XCHG_ACQREL,1,8,304,256,33554432,22,0.06330399960279465,c09u13,1778503410.8093216
XCHG_ACQREL,1,8,304,256,33554432,23,0.06599000096321106,c09u13,1778503410.8093224
XCHG_ACQREL,1,8,304,256,33554432,24,0.06510800123214722,c09u13,1778503410.809323
XCHG_ACQREL,1,8,304,1024,2097152,0,0.14946000277996063,c09u13,1778503411.1236231
XCHG_ACQREL,1,8,304,1024,2097152,1,0.1488189995288849,c09u13,1778503411.1236246
XCHG_ACQREL,1,8,304,1024,2097152,2,0.1495009958744049,c09u13,1778503411.1236253
XCHG_ACQREL,1,8,304,1024,2097152,3,0.14910000562667847,c09u13,1778503411.123626
XCHG_ACQREL,1,8,304,1024,2097152,4,0.19520500302314758,c09u13,1778503411.1236267
XCHG_ACQREL,1,8,304,1024,2097152,5,0.1470559984445572,c09u13,1778503411.1236274
XCHG_ACQREL,1,8,304,1024,2097152,6,0.14577199518680573,c09u13,1778503411.1236281
XCHG_ACQREL,1,8,304,1024,2097152,7,0.21841800212860107,c09u13,1778503411.1236289
XCHG_ACQREL,1,8,304,1024,2097152,8,0.1505029946565628,c09u13,1778503411.1236293
XCHG_ACQREL,1,8,304,1024,2097152,9,0.14420899748802185,c09u13,1778503411.12363
XCHG_ACQREL,1,8,304,1024,2097152,10,0.1450909972190857,c09u13,1778503411.1236305
XCHG_ACQREL,1,8,304,1024,2097152,11,0.14745600521564484,c09u13,1778503411.123631
XCHG_ACQREL,1,8,304,1024,2097152,12,0.14621399343013763,c09u13,1778503411.123632
XCHG_ACQREL,1,8,304,1024,2097152,13,0.14545199275016785,c09u13,1778503411.1236324
XCHG_ACQREL,1,8,304,1024,2097152,14,0.14416800439357758,c09u13,1778503411.1236331
XCHG_ACQREL,1,8,304,1024,2097152,15,0.14424900710582733,c09u13,1778503411.1236339
XCHG_ACQREL,1,8,304,1024,2097152,16,0.14617300033569336,c09u13,1778503411.1236343
XCHG_ACQREL,1,8,304,1024,2097152,17,0.14469000697135925,c09u13,1778503411.1236353
XCHG_ACQREL,1,8,304,1024,2097152,18,0.14392800629138947,c09u13,1778503411.123636
XCHG_ACQREL,1,8,304,1024,2097152,19,0.14545099437236786,c09u13,1778503411.1236367
XCHG_ACQREL,1,8,304,1024,2097152,20,0.14312699437141418,c09u13,1778503411.1236372
XCHG_ACQREL,1,8,304,1024,2097152,21,0.14597199857234955,c09u13,1778503411.1236377
XCHG_ACQREL,1,8,304,1024,2097152,22,0.1458120048046112,c09u13,1778503411.1236382
XCHG_ACQREL,1,8,304,1024,2097152,23,0.14569200575351715,c09u13,1778503411.123639
XCHG_ACQREL,1,8,304,1024,2097152,24,0.14513100683689117,c09u13,1778503411.1236396
XCHG_ACQREL,1,8,304,1024,33554432,0,0.14525100588798523,c09u13,1778503411.1357186
XCHG_ACQREL,1,8,304,1024,33554432,1,0.1482979953289032,c09u13,1778503411.13572
XCHG_ACQREL,1,8,304,1024,33554432,2,0.14541099965572357,c09u13,1778503411.1357212
